customerId,customerName,address,email,phoneNumber,creditLimit,customerType,activeStatus,remarks
1,Billye Bhatia,Nueva Guadalupe,bbhatia0@blogspot.com,196-345-9034,27696,PLATINUM,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
2,Lauren Manueau,Enyerhyetykaw,lmanueau1@icq.com,962-330-6936,32347,PLATINUM,true,Sed ante. Vivamus tortor. Duis mattis egestas metus.
3,Dorris Hammonds,Lasiana,dhammonds2@1688.com,897-225-9999,33320,BRONZE,false,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
4,Melisande Aleksic,Ivatsevichy,maleksic3@ovh.net,931-575-8298,24962,SILVER,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
5,Flemming Mounter,Portsmouth,fmounter4@msu.edu,878-738-8511,32675,PLATINUM,true,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
6,Susie MacMeanma,Пласница,smacmeanma5@blinklist.com,782-929-1817,26526,PLATINUM,false,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
7,Ignacius Vallow,Belz,ivallow6@sbwire.com,105-471-4396,31825,BRONZE,false,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
8,Carola Kik,Río Viejo,ckik7@apple.com,828-525-9781,36607,GOLD,true,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
9,Jackie McGennis,Sumuragung,jmcgennis8@paypal.com,297-599-9503,27589,GOLD,true,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
10,Kienan Liversidge,Moravský Krumlov,kliversidge9@nsw.gov.au,109-656-3611,21482,PLATINUM,false,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
11,Adolph Farnfield,Kuzhorskaya,afarnfielda@omniture.com,363-902-1813,12745,SILVER,false,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
12,Constantine Hurdidge,Guantang,churdidgeb@mapy.cz,532-509-8624,26039,BRONZE,false,Fusce consequat. Nulla nisl. Nunc nisl.
13,Abel Flowers,Dashu,aflowersc@about.me,729-346-9554,32459,BRONZE,true,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
14,Loralyn Whitehair,Thị Trấn Ngan Dừa,lwhitehaird@java.com,802-427-5613,35444,PLATINUM,false,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
15,Sherman Witterick,Ketapang,swittericke@mapy.cz,416-968-9834,35344,BRONZE,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
16,Cody Heselwood,Qinggang,cheselwoodf@irs.gov,322-357-9324,24227,GOLD,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
17,Linc Letchford,Hualin,lletchfordg@walmart.com,997-517-3180,39850,BRONZE,false,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
18,Jinny Prozillo,Jönköping,jprozilloh@sciencedirect.com,476-574-8536,34069,SILVER,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
19,Crystie Melson,Tim,cmelsoni@parallels.com,600-203-0855,18456,GOLD,false,Sed ante. Vivamus tortor. Duis mattis egestas metus.
20,Margarete Breward,Stąporków,mbrewardj@hao123.com,855-783-5846,21514,SILVER,true,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
21,Elisa Mortimer,Huangtan,emortimerk@bluehost.com,749-967-3517,14584,PLATINUM,false,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
22,Clemens Lochead,Abū Ghaush,clocheadl@nationalgeographic.com,681-254-6369,15071,SILVER,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
23,Sarena Haigh,Sunzhen,shaighm@istockphoto.com,151-850-3734,34608,GOLD,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
24,Bondy Sesons,Artsvaberd,bsesonsn@reference.com,162-601-0998,43618,GOLD,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
25,Rory Kernley,Tanjung Raja,rkernleyo@gizmodo.com,736-412-6522,12728,SILVER,true,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
26,Patten Pincked,Shuangjie,ppinckedp@jugem.jp,942-809-5325,38270,PLATINUM,false,Sed ante. Vivamus tortor. Duis mattis egestas metus.
27,Ruthann Clabburn,Stockholm,rclabburnq@yolasite.com,823-615-2242,45318,BRONZE,false,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
28,Tamiko Ivakin,Ilinden,tivakinr@spiegel.de,636-971-6812,39953,GOLD,true,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
29,Kev Cartan,Chuzhou,kcartans@webmd.com,889-625-4311,36465,GOLD,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
30,Keri Roney,Baoshan,kroneyt@yellowpages.com,536-975-7449,23879,PLATINUM,false,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
31,Zed Kinchin,Sa Bot,zkinchinu@meetup.com,216-228-2355,35825,GOLD,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
32,Berny Mateuszczyk,Jiangdulu,bmateuszczykv@aol.com,322-233-8343,37187,GOLD,false,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
33,Immanuel Redmire,São Carlos,iredmirew@weibo.com,661-402-4199,10160,PLATINUM,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
34,Kerry Thorwarth,Kolwezi,kthorwarthx@jiathis.com,658-313-8929,26429,GOLD,false,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.
35,Kelvin Entwisle,Kamo,kentwisley@purevolume.com,197-789-5280,11908,BRONZE,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
36,Alec MacNeice,Mallow,amacneicez@google.es,318-438-3694,44908,GOLD,false,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
37,Mike Bliven,Mala Danylivka,mbliven10@google.ru,846-702-0295,19128,PLATINUM,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
38,Tildi Sarah,Quime,tsarah11@google.ru,164-880-1532,34462,BRONZE,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
39,Wenona Derx,Saint-Sauveur,wderx12@google.it,646-314-4654,28173,PLATINUM,false,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
40,Jude Hrynczyk,Concordia,jhrynczyk13@cdbaby.com,952-923-4913,29939,BRONZE,false,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
41,Roxane Adamovitch,Bao’an,radamovitch14@vkontakte.ru,191-286-2952,48553,GOLD,false,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
42,Emiline Payn,Hashtpar,epayn15@yandex.ru,648-569-6310,25067,GOLD,false,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
43,Tessi Bencher,Limoges,tbencher16@360.cn,609-118-3754,12831,GOLD,true,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
44,Farley Iacomini,Ruukki,fiacomini17@acquirethisname.com,642-418-6207,34792,GOLD,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
45,Katinka Drakard,Varginha,kdrakard18@tinyurl.com,392-271-6984,37395,SILVER,false,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
46,Ezequiel Larham,Río Grande,elarham19@oakley.com,867-527-2562,21612,SILVER,true,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus."
47,Yoshiko Blew,Koysinceq,yblew1a@narod.ru,266-636-5612,27338,BRONZE,false,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
48,Halimeda Dewhirst,Huikou,hdewhirst1b@paginegialle.it,115-119-1096,12041,BRONZE,false,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
49,Halli Milan,Madrid,hmilan1c@redcross.org,895-699-5902,14640,GOLD,false,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem."
50,Damian Blanckley,Zaranj,dblanckley1d@dion.ne.jp,819-387-4442,10557,BRONZE,true,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
51,Joella Van der Kruijs,Banjaranyar,jvan1e@example.com,202-173-5534,24217,PLATINUM,true,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
52,Kim Eddolls,Pithoro,keddolls1f@purevolume.com,201-707-1400,45791,PLATINUM,false,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui."
53,Lorrayne Izatt,Ganxi,lizatt1g@amazon.co.uk,363-247-8195,11366,BRONZE,true,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem."
54,Farlie Welfair,Pawitan,fwelfair1h@reuters.com,972-793-8518,11190,SILVER,true,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
55,Sybilla Weekley,Nakuru,sweekley1i@geocities.com,399-216-0749,43565,PLATINUM,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh."
56,Yardley Boyfield,Nasielsk,yboyfield1j@arstechnica.com,539-565-4037,46076,PLATINUM,true,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.
57,Immanuel Stanyard,Francos,istanyard1k@webnode.com,520-857-5927,10874,PLATINUM,false,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
58,Jonathon Fairham,Xin’e,jfairham1l@ameblo.jp,966-483-3013,46791,SILVER,false,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
59,Trey Limeburner,Qingliu,tlimeburner1m@washington.edu,239-207-4207,19689,BRONZE,true,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
60,Frederico Prout,Puncaksari,fprout1n@usda.gov,207-265-1200,23516,BRONZE,false,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.
61,Kelila Shirtliff,Ożarowice,kshirtliff1o@nymag.com,797-663-6133,39469,GOLD,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
62,Stevena Bakey,Zhangatas,sbakey1p@ed.gov,464-227-5997,20619,PLATINUM,true,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
63,Leola Chance,Noda,lchance1q@over-blog.com,120-248-6388,10231,GOLD,true,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.
64,Zena Tsarovic,Esmeraldas,ztsarovic1r@github.io,151-242-0630,24401,GOLD,false,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
65,Romonda Boydon,Borovany,rboydon1s@adobe.com,777-237-9045,24900,BRONZE,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
66,Reamonn Bellwood,Modis,rbellwood1t@quantcast.com,121-638-0413,42689,PLATINUM,true,Fusce consequat. Nulla nisl. Nunc nisl.
67,Hedy Heibl,Charikar,hheibl1u@pagesperso-orange.fr,985-363-8428,35758,PLATINUM,true,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius."
68,Moyra Murrill,Xijiang,mmurrill1v@apache.org,478-656-9227,21626,PLATINUM,true,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.
69,Hillard Vela,Shipunovo,hvela1w@amazon.de,231-977-6610,25290,BRONZE,true,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
70,Noemi Hannay,Głuchów,nhannay1x@constantcontact.com,902-556-2493,17308,BRONZE,true,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.
